"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","748","User successful registration","Positive","Tue Sep 09 16:33:39 UTC 2025","passed","Tue Sep 09 16:33:40 UTC 2025","Registration","Authentication","",""
"","907","User successful registration","Positive","Tue Sep 09 16:33:32 UTC 2025","passed","Tue Sep 09 16:33:33 UTC 2025","Registration","Authentication","",""
"","1215","User successful registration","Positive","Tue Sep 09 16:33:32 UTC 2025","passed","Tue Sep 09 16:33:34 UTC 2025","Registration","Authentication","",""
